acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
celiac disease	1	1	1	0.999993247400559	0.996156180506524	1	1	1	2.29596850818655e-15	0.998493858104719	1	0.863124064369084	1	0.286014486572477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.75463882254618e-09	0.999999999969321	1	0.000277464842431841	1	0.999972692786188	0.999972692786188	1	1	0.999999999998025	1	1	0.863124064369084	1	0.998493858104719	1	1	0.0208084316360952	1	1	0.999927611444871	0.999997788018554	1	1	1	0.728392833053491	1	0.863124064369084	1.43875539193073e-106	0.999813917917408	0.939665061682601	1	1	0.99999999595529	9.90290787508966e-128	1	1	1	1	1
cerebral infarction	1	1	0.537789729115739	2.32884295456243e-193	2.48045474697008e-05	1	1	1	0.99999999998106	0.996130572362813	1	1	1	0.999999999998553	0.999999999999392	1	1	1	1	0.999996191976066	1	1	1	1	1	1	1	1	1	1	1	0.999996037332543	1	1	0.986200471346317	1	0.999999900178498	1	9.03832519312752e-08	9.03832519312752e-08	1	1	0.99999931083783	1	0.0924325430116633	1	1	0.996130572362813	0.0924325430116633	0.997263786135227	0.999999974924929	8.39516345413446e-320	3.81438681127348e-21	0.00830160617441869	1	0.000166292797438296	1	1	1	1	1	0.99999999999739	0.999978781227285	1	1	1	5.11015442548458e-15	1	1	1	1	1	0.980481855029291
cerebral palsy	1	1	1	0.964143077035656	1	1	1	1	0.982224761447904	0.999999999999885	0.999385799685697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999532941948451	1	1	1	1	0.999985426504872	1	0.999556379506661	0.999556379506661	1	1	1	1	1	1	1	0.999999999999885	1	1	0.999999999915507	0.99999970783022	0.0323109630285095	1	0.999999768170376	1	1	1	1	1	1	0.65038563185366	1	1	1	1	0.999998432777183	1	1	1	1	1	1
colitis, ulcerative	1	1	1	0.99999999999961	0.998940146647619	1	1	1	0.999999999999875	2.57607830684884e-36	1	0.960473548035917	1	0.0376072055254877	0.999999999997694	0.31260473530556	0.000762693534024228	1	1	1	1	1	1	1	1	1	1	1	0.996850742192924	1	1	1	1	3.13755681412453e-15	0.000102241712123268	1	2.14824597832449e-14	1	0.99988993339309	0.99988993339309	1	1	2.60095822820706e-17	1	1	0.960473548035917	0.996850742192924	2.57607830684884e-36	1	1	0.00526204643120397	1	1	4.09371076544411e-62	0.999999999997298	1	1	1	0.981648347917964	1	0.960473548035917	0.999999999999999	0.999935699893197	0.1690572682572	1	1	0.998912915225658	2.37422364236066e-48	1	1	1	1	1
coronary arteriosclerosis	1	1	1	1	1.42174868418311e-49	1	1	0.603215988403645	0.351923945403587	2.37172226061936e-29	1	1	0.988944852149622	0.999999063634634	0.999999999999992	1	1	1	1	0.942738471354498	1	1	0.0649570459288686	1	1	1	1	1	1	0.999999999999916	1	0.999999991247946	1	1	3.55466491138873e-18	1	0.981953866700724	0.999999365785876	0.953650789431919	0.953650789431919	0.793525151441784	1	0.450146843189079	1	1	1	1	2.37172226061936e-29	1	0.992690371811644	0.999999999979827	1	1	0.999978451835504	1	0.386687717371772	1	0.918866401627217	0.999999953485217	1	1	1	0.999999557401188	1	1	1	0.999990060230062	1	1	1	1	1	1.86419169078375e-20
coronary artery disease	1	1	1	1	1.42174868418311e-49	1	1	0.603215988403645	0.351923945403587	2.37172226061936e-29	1	1	0.988944852149622	0.999999063634634	0.999999999999992	1	1	1	1	0.942738471354498	1	1	0.0649570459288686	1	1	1	1	1	1	0.999999999999916	1	0.999999991247946	1	1	3.55466491138873e-18	1	0.981953866700724	0.999999365785876	0.953650789431919	0.953650789431919	0.793525151441784	1	0.450146843189079	1	1	1	1	2.37172226061936e-29	1	0.992690371811644	0.999999999979827	1	1	0.999978451835504	1	0.386687717371772	1	0.918866401627217	0.999999953485217	1	1	1	0.999999557401188	1	1	1	0.999990060230062	1	1	1	1	1	1.86419169078375e-20
coronary disease	1	1	1	1	1.25475495727038e-24	0.999999999971572	1	0.829603790455541	0.0630421085247061	0.958981480732063	1	1	0.999999999636795	1	1	1	1	1	1	1	1	1	0.276794690255056	1	0.113594882174256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999505441299847	1	1	1	1	1	1	0.958981480732063	1	0.999999963248818	1	1	1	1	1	0.994204426422518	1	0.999928172879079	1	1	1	0.987039286628156	1	1	1	1	1	1	1	1	1	1	9.09659237755947e-23
crohn disease	1	1	1	1	0.998659819582173	1	1	1	1	6.46870468203771e-42	1	0.694946882984147	0.972680255976932	6.26662316389316e-15	1	1	5.61015828067589e-08	1	1	0.866780990337614	1	1	1	1	1	1	1	1	0.953213288335901	0.999999999107725	0.171787213808479	1	1	3.83103556769853e-16	1.7055404431083e-14	1	3.28535439569834e-09	1	0.820257166260559	0.820257166260559	0.358979702720095	1	5.55232547753929e-17	1	1	0.694946882984147	0.953213288335901	6.46870468203771e-42	1	1	0.00174133490312251	1	1	2.94855605530932e-33	0.99999982880294	1	1	0.865641054757188	0.999287499151138	1	0.694946882984147	0.999999999999968	0.999999888635928	0.799052395085914	1	1	0.977503558710366	4.69657818734339e-115	1	1	1	1	1
deep vein thrombosis	1	1	1	1	0.988612801227396	1	1	1	1	0.99999999999862	1	1	1	1	0.999999999998034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999992775559	1	1	1	1	0.999999999966911	1	0.999999999999719	0.999999999999719	1	1	1	1	1	1	1	0.99999999999862	1	1	1	1	1	1	1	0.928449284909086	0.918453566807948	1	0.999999952672966	0.436034877748433	1	1	0.999999998641956	1	1	1	1	1	1	1	1	1	0.999015497576501
dementia	1	1	0.873514258082756	8.39516345413446e-320	0.990050427811299	1	1	0.999999926199439	1	0.290693493934023	1	1	0.999999221594558	1	1	1	1	1	0.999696741091111	1	1	1	1	1	1	1	1	1	0.999999995090495	1	1	1	1	1	1	1	1	0.999999999999926	0.999999992461163	0.999999992461163	0.99274338125497	0.445736271095234	1	1	0.906083902969871	1	0.999999995090495	0.290693493934023	0.906083902969871	0.999986863281979	1	8.39516345413446e-320	5.45749449673729e-25	1	1	1.40236415476302e-09	0.998690017363939	0.999607285149189	1	1	1	1	5.3330654064084e-08	1	1	1	1	1	1	1	0.999715372317151	1	0.91894985240825
